sku,nome,categoria,subcategoria,codigo,descricao_tecnica,aplicacao,publico_indicado,diferencial,risco_ou_cuidado,argumento_venda,objecao_comum,resposta_objecao,venda_casada,source_url,status_dados
CLY-004,"Kers Disco Clay Bar Mágico de Descontaminação 6"" Agressivo",Linha Clay,Disco clay,51,Disco clay para remoção de contaminações com agressividade alta.,Descontaminação antes de polimento ou proteção.,Profissional,Uso manual ou mecânico acelera produtividade.,Necessita lubrificação e avaliação de necessidade.,Boa para contaminações mais severas.,Vai agredir a pintura?,A página pública destaca remoção sem agredir a pintura quando usado corretamente.,Lubrificante; politriz; microfibra,https://www.kers.com.br/linha-clay,público
CLY-005,Kers Clay Bar 80g Suave,Linha Clay,Clay bar,50,"Clay bar para remover overspray, seiva, resíduos industriais, manchas de água e piche sem agredir o verniz.",Descontaminação manual.,Profissional; usuário exigente,Versão suave para contaminação menor.,Exige lubrificação correta.,Etapa clássica que eleva muito a percepção de qualidade da pintura.,Nunca usei clay.,Com lubrificação e pressão corretas é uma etapa simples e muito perceptível no toque.,Lubrificante; microfibra,https://www.kers.com.br/linha-clay,público
CLY-006,Kers Clay Bar 80g Médio,Linha Clay,Clay bar,53,Clay bar 80g média.,Descontaminação manual.,Profissional; usuário exigente,Intermediária na família 80g.,Exige lubrificação correta.,Boa opção para contaminação intermediária.,Qual agressividade escolher?,Depende do nível de contaminação; a média é o meio-termo.,Lubrificante; microfibra,https://www.kers.com.br/linha-clay,público
CLY-007,Kers Clay Bar 80g Agressivo,Linha Clay,Clay bar,52,Clay bar 80g agressiva.,Descontaminação manual de contaminações mais severas.,Profissional,Maior poder de remoção na família 80g.,Escolher somente quando necessário e com técnica.,Resolve contaminação severa com mais rapidez.,Vai agredir o verniz?,A página pública diz que remove contaminações sem agredir o verniz quando usada corretamente.,Lubrificante; microfibra,https://www.kers.com.br/linha-clay,público
CLY-008,Kers Clay Bar 160g Suave,Linha Clay,Clay bar,49,Clay bar 160g suave.,Descontaminação manual.,Profissional,Maior peso para quem usa mais.,Exige lubrificação correta.,Boa para profissional que quer maior rendimento por peça.,Qual tamanho levo?,Quem usa mais costuma preferir a 160g pelo rendimento.,Lubrificante; microfibra,https://www.kers.com.br/linha-clay,público
CLY-009,Kers Clay Bar 160g Médio,Linha Clay,Clay bar,54,Clay bar 160g média.,Descontaminação manual.,Profissional,Maior peso com agressividade intermediária.,Exige lubrificação correta.,Boa opção para uso frequente com contaminação média.,Qual tamanho levo?,A 160g tende a compensar para uso profissional mais intenso.,Lubrificante; microfibra,https://www.kers.com.br/linha-clay,público
CLY-010,Kers Clay Bar 160g Agressivo,Linha Clay,Clay bar,51,Clay bar 160g agressiva.,Descontaminação manual de contaminações mais severas.,Profissional,Maior peso e maior agressividade.,Escolher somente quando necessário e com técnica.,Feita para uso profissional em contaminações mais pesadas.,Vai marcar a pintura?,"Com lubrificação e técnica corretas, a proposta é remover contaminação sem agredir o verniz.",Lubrificante; microfibra,https://www.kers.com.br/linha-clay,público
CLY-011,Refil Mouse Easy Clay Pack 2un,Linha Clay,Refil,713,Refil para Mouse Easy Clay indicado para descontaminação do verniz automotivo.,Reposição para mouse easy clay.,Profissional; hobista,Reposição direta para o acessório principal.,Checar compatibilidade com o mouse easy clay.,Ajuda a manter o sistema em uso sem trocar o conjunto todo.,Preciso comprar o conjunto inteiro de novo?,Não; o refil existe justamente para reposição.,Mouse Easy Clay; lubrificante,https://www.kers.com.br/linha-clay,público
CLY-012,Refil Mouse Easy Clay Pack 1un,Linha Clay,Refil,79,Refil para Mouse Easy Clay indicado para descontaminação do verniz automotivo.,Reposição para mouse easy clay.,Profissional; hobista,Reposição direta para o acessório principal.,Checar compatibilidade com o mouse easy clay.,Ajuda a manter o sistema em uso sem trocar o conjunto todo.,Preciso comprar o conjunto inteiro de novo?,Não; o refil existe justamente para reposição.,Mouse Easy Clay; lubrificante,https://www.kers.com.br/linha-clay,público
LUM-001,Kers Holofote Max Lum 50W recarregável,Iluminação,Holofote,784,"Holofote com 3 níveis de iluminação, até 1,70m de altura, IP65, 4000K, CRI > 80 e função power bank.",Inspeção e iluminação de detalhamento.,Profissional,"3 níveis, proteção IP65 e power bank.",Confirmar se o cliente quer também o tripé.,Boa peça para inspeção e trabalho com mobilidade.,Preciso do tripé também?,"Geralmente sim, porque melhora posicionamento e estabilidade da luz.",Tripé 787,https://www.kers.com.br/lanterna,público
LUM-002,Tripé para Holofote Max Lum,Iluminação,Tripé,787,Tripé associado ao holofote Max Lum.,Apoio para iluminação.,Profissional,Complemento direto do holofote.,Vender em conjunto com o holofote.,Upsell natural na venda de iluminação.,Dá para usar sem tripé?,"Dá, mas o tripé amplia a utilidade e o posicionamento da luz.",Holofote 784,https://www.kers.com.br/lanterna,público
LUM-003,Kers Holofote Flex Detail 25W recarregável,Iluminação,Holofote,81,"Holofote 25W recarregável, carregador bivolt, CRI 95+, IP65, 4000K e altura máxima 1,85m.",Inspeção e iluminação de detalhamento.,Profissional,CRI 95+ para leitura mais fiel de defeitos.,Confirmar necessidade do tripé.,Ótima venda técnica para quem entende a importância de CRI alto.,O que significa CRI 95+?,"Maior fidelidade de cor, importante para inspeção visual de acabamento.",Tripé 82,https://www.kers.com.br/lanterna,público
LUM-004,Tripé para Holofote Flex Detail,Iluminação,Tripé,82,Tripé associado ao holofote Flex Detail.,Apoio para iluminação.,Profissional,Complemento direto do holofote.,Vender em conjunto.,Upsell natural na venda de iluminação.,Posso usar qualquer apoio?,"Pode, mas o tripé dedicado simplifica uso e estabilidade.",Holofote 81,https://www.kers.com.br/lanterna,público
LUM-005,Kers Lanterna Recarregável Pen Led 3W,Iluminação,Lanterna,730,"Lanterna com controle de abertura de luz, micro USB 5V 1A, alcance 50m e IP45.",Inspeção portátil.,Profissional; hobista,Portabilidade e controle de abertura da luz.,Orientar autonomia e perfil de uso.,Boa lanterna de bolso para inspeção rápida.,Preciso de algo tão técnico?,"Mesmo em uso simples, portabilidade e autonomia ajudam bastante.",Holofotes; carregadores,https://www.kers.com.br/lanterna,público
BNK-001,Kers Ultimate Detail 130kg,Bancos e Racks,Banco,717,"Banco com 4 rodízios 360°, bandeja para ferramentas e dois suportes plásticos para frascos.",Apoio ergonômico para detalhamento.,Profissional,Organização e mobilidade durante o serviço.,"Mostrar ganho operacional, não só conforto.","Melhora ergonomia, organização e velocidade no dia a dia.",É só um banco.,Na prática reduz deslocamentos e melhora acesso a ferramentas.,Frascos; racks; organizadores,https://www.kers.com.br/bancos,público
BNK-002,Kers Pro Detailer,Bancos e Racks,Banco,758,"Banco com bandeja de design estratégico, gaveta frontal e 4 rodízios 360°.",Apoio ergonômico e organização premium.,Profissional,Bandeja + gaveta frontal + mobilidade.,Venda depende de mostrar ganho real no fluxo de trabalho.,Produto de maior valor agregado para operação profissional.,Não é luxo demais?,"Para quem trabalha o dia inteiro, organização e ergonomia retornam em produtividade.",Frascos; compostos; organizadores,https://www.kers.com.br/bancos,público
